"의료기관시도별","보험급여별","수술종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"광주","계","백내장 수술","수술건수[건]","건","8415","9412","10386","11276","13383","14480","14859","15669","17202","19376","19891","20022","21700","26411","25513","29677","30685",
"광주","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","2665","2476","2603","2378","2221","2351","2371","2229","2074","1897","1906","1999","1742","1810","1530","995","797",
"광주","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","2682","2495","2618","2396","2244","2375","2408","2267","2102","1937","1949","2055","1766","1844","1573","1035","808",
"광주","계","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","363","345","371","366","350","306","363","408","449","446","444","362","425","406","361","413","523",
"광주","계","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","376","359","385","380","359","315","371","421","462","457","459","376","434","417","368","421","539",
"광주","계","스텐트삽입술","수술인원수[명]","명","1793","1841","1829","2079","2328","2195","2387","2379","2697","2655","2803","2791","3309","3616","3619","3668","3590",
"광주","계","스텐트삽입술","수술건수[건]","건","1851","1906","1900","2158","2386","2243","2429","2429","2761","2712","2891","2871","3391","3721","3725","3749","3696",
"광주","계","관상동맥 우회수술","수술인원수[명]","명","83","72","53","63","63","81","68","76","127","144","160","148","150","155","179","215","189",
"광주","계","관상동맥 우회수술","수술건수[건]","건","83","73","53","64","63","81","68","76","128","144","161","148","150","155","179","215","189",
"광주","계","심장 카테터 삽입술","수술인원수[명]","명","31","15","11","11","18","22","17","25","23","18","20","31","23","37","22","47","101",
"광주","계","심장 카테터 삽입술","수술건수[건]","건","31","15","11","11","18","22","17","25","24","18","20","31","23","37","22","50","102",
"광주","계","정맥류 결찰 및 제거수술","수술인원수[명]","명","448","539","76","479","898","912","992","1008","992","678","654","565","506","453","459","338","245",
"광주","계","정맥류 결찰 및 제거수술","수술건수[건]","건","453","554","109","482","899","917","1000","1029","1008","707","683","569","512","456","465","343","249",
"광주","계","충수절제술","수술인원수[명]","명","4429","4448","4292","4656","4481","4413","4518","4327","4230","4121","3979","3741","3423","3441","3186","2978","2774",
"광주","계","충수절제술","수술건수[건]","건","4430","4477","4296","4662","4484","4414","4520","4331","4235","4161","4065","3816","3443","3452","3192","3000","2787",
"광주","계","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","203","165","113","124","115","129","253","297","331","299","367","409","445","454","527","736","775",
"광주","계","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","207","172","117","132","116","129","259","305","336","313","377","423","465","471","536","764","801",
"광주","계","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","1190","1317","1433","1730","1978","1972","2379","2292","2295","2238","2731","2738","2935","3213","3129","3444","3321",
"광주","계","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","1190","1329","1433","1732","1980","1972","2380","2295","2297","2240","2737","2742","2938","3221","3135","3445","3324",
"광주","계","내시경 및 경피적 담도수술","수술인원수[명]","명","641","857","955","1051","1135","1260","1435","1476","1542","1603","1688","1731","1903","2139","2211","2382","2362",
"광주","계","내시경 및 경피적 담도수술","수술건수[건]","건","688","949","1056","1148","1267","1434","1651","1727","1777","1845","1943","2008","2209","2668","2654","2821","2849",
"광주","계","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","1332","1304","1286","1358","1374","1326","1216","1349","1274","1301","1286","1160","1169","1112","1002","1099","1120",
"광주","계","서혜 및 대퇴 허니아 수술","수술건수[건]","건","1346","1332","1311","1385","1386","1347","1234","1371","1291","1332","1319","1188","1187","1133","1010","1108","1141",
"광주","계","경요도 전립선 절제술","수술인원수[명]","명","155","255","214","244","295","247","304","285","308","324","461","526","610","586","666","626","655",
"광주","계","경요도 전립선 절제술","수술건수[건]","건","157","257","214","245","295","247","304","288","309","327","465","528","611","593","671","628","658",
"광주","계","전립선 절제술","수술인원수[명]","명","27","38","48","28","37","34","16","19","19","20","24","32","59","67","123","118","156",
"광주","계","전립선 절제술","수술건수[건]","건","27","38","48","28","37","34","16","19","19","20","24","32","59","68","123","118","175",
"광주","계","자궁절제술","수술인원수[명]","명","3784","3694","3788","3845","2736","1420","1340","1184","1179","1151","1201","1135","1198","1084","1031","1057","1094",
"광주","계","자궁절제술","수술건수[건]","건","3795","3726","3806","3877","2769","1421","1344","1185","1179","1153","1203","1135","1198","1086","1032","1059","1097",
"광주","계","제왕절개수술","수술인원수[명]","명","3349","4073","5002","5215","5663","5495","5783","5415","5438","5474","5463","5052","5068","4798","4702","4675","4801",
"광주","계","제왕절개수술","수술건수[건]","건","3349","4081","5002","5217","5756","5497","5795","5427","5442","5475","5465","5054","5072","4801","4702","4681","4811",
"광주","계","고관절 치환술","수술인원수[명]","명","123","128","133","163","159","144","200","192","1210","1322","1319","1427","1345","1231","1139","1223","1164",
"광주","계","고관절 치환술","수술건수[건]","건","130","133","136","169","165","148","205","202","1238","1351","1351","1464","1378","1256","1159","1242","1200",
"광주","계","슬관절 치환술","수술인원수[명]","명","779","981","1059","1153","1356","1649","2061","2143","2381","2735","2932","2968","3222","3343","2894","2911","3207",
"광주","계","슬관절 치환술","수술건수[건]","건","795","1016","1079","1179","1399","1704","2133","2222","2455","2810","3050","3065","3299","3434","2965","2981","3365",
"광주","계","유방 부분 절제술","수술인원수[명]","명","128","133","143","89","420","424","513","588","448","383","448","528","515","586","607","689","728",
"광주","계","유방 부분 절제술","수술건수[건]","건","129","136","143","89","427","430","524","601","453","386","452","534","525","607","622","701","747",
"광주","계","유방 전 절제술","수술인원수[명]","명","393","316","386","459","144","137","213","225","203","175","115","212","129","200","305","344","453",
"광주","계","유방 전 절제술","수술건수[건]","건","398","323","390","463","144","137","214","226","204","175","115","213","129","201","305","344","454",
"광주","계","뇌기저부 수술","수술인원수[명]","명","0","1","1","2","3","0","1","","","","-","-","-","-","","-","-",
"광주","계","뇌기저부 수술","수술건수[건]","건","0","1","1","2","3","0","1","","","","-","-","-","-","-","-","-",
"광주","계","뇌종양 수술","수술인원수[명]","명","50","37","40","47","52","52","55","45","34","24","21","16","14","5","8","17","25",
"광주","계","뇌종양 수술","수술건수[건]","건","50","38","41","48","52","53","55","46","35","26","22","16","14","5","8","17","26",
"광주","계","위 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","293","275","188","302","255","269","286","275","300","243","204","200","181","200","206","254","273",
"광주","계","위 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","293","281","188","303","255","269","287","276","305","243","205","200","181","200","206","254","273",
"광주","계","간 부분 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","51","54","56","63","60","50","50","30","58","77","100","70","91","68","62","72","70",
"광주","계","간 부분 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","52","54","56","64","61","51","50","30","58","77","102","70","92","68","62","72","70",
"광주","계","간색전술","수술인원수[명]","명","598","643","589","633","650","653","691","685","622","661","746","734","831","721","637","602","568",
"광주","계","간색전술","수술건수[건]","건","949","1027","982","1035","996","946","931","930","853","856","978","926","1063","874","768","678","628",
"광주","계","갑상선 수술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","996","1110","1146","1343","1334","1335","1520","1597","1090","713","673","592","581","592","612","779","816",
"광주","계","갑상선 수술(기타 질환에 의한 수술 포함)","수술건수[건]","건","998","1119","1149","1349","1337","1340","1529","1608","1095","715","677","592","585","598","614","781","822",
"광주","계","선천성 심장기형 수술","수술인원수[명]","명","199","200","155","167","173","381","269","246","223","","","","","","","","",
"광주","계","선천성 심장기형 수술","수술건수[건]","건","200","203","157","169","174","387","271","248","225","","","","","","","","",
"광주","계","심장수술(관상동맥 우회수술 제외)","수술인원수[명]","명","","","","","","","","","","183","188","168","166","188","384","418","384",
"광주","계","심장수술(관상동맥 우회수술 제외)","수술건수[건]","건","","","","","","","","","","184","192","169","171","191","393","435","397",
"광주","계","순열 및 구개열 수술","수술인원수[명]","명","11","7","12","37","26","36","34","23","26","26","27","26","19","35","22","14","25",
"광주","계","순열 및 구개열 수술","수술건수[건]","건","12","9","13","38","26","40","38","26","27","29","29","29","20","39","22","16","26",
"광주","계","치핵 수술","수술인원수[명]","명","10649","10375","10447","10410","9493","9726","10251","9573","9118","8371","7737","7780","7062","6709","6267","5462","5651",
"광주","계","치핵 수술","수술건수[건]","건","10815","10593","10611","10559","9597","9780","10308","9629","9164","8545","8067","8036","7188","6760","6324","5518","5712",
"광주","계","내시경하 척추수술","수술인원수[명]","명","165","84","48","44","45","38","49","63","86","36","9","52","18","151","248","298","255",
"광주","계","내시경하 척추수술","수술건수[건]","건","166","85","49","44","46","38","49","64","86","36","9","52","18","153","255","300","259",
"광주","계","일반 척추수술","수술인원수[명]","명","4903","5283","5654","7061","7074","6741","7965","8070","7435","6968","7136","6711","6724","7044","7546","8111","7860",
"광주","계","일반 척추수술","수술건수[건]","건","5093","5524","5874","7343","7357","6999","8328","8467","7780","7300","7483","6972","7019","7393","7819","8456","8245",
"광주","계","내시경하 부비동 수술","수술인원수[명]","명","","","","2594","2802","2916","3000","3083","2987","3301","3430","3169","2981","2945","1417","1331","1336",
"광주","계","내시경하 부비동 수술","수술건수[건]","건","","","","2679","2887","3033","3128","3182","3071","3360","3499","3253","3057","3043","1468","1380","1379",
"광주","계","일반 부비동 수술","수술인원수[명]","명","1680","1687","1607","598","476","413","329","274","200","235","159","112","191","65","58","36","59",
"광주","계","일반 부비동 수술","수술건수[건]","건","1820","1825","1736","636","500","426","337","277","231","242","166","118","201","69","62","39","60",
"광주","계","줄기세포이식술","수술인원수[명]","명","","","","","","","","","","","","","","","","","4",
"광주","계","줄기세포이식술","수술건수[건]","건","","","","","","","","","","","","","","","","","4",
"광주","건강보험","계","수술인원수[명]","명","44145","45890","47273","51982","52972","52919","56450","56125","56369","56166","57055","56052","56521","59556","56493","58735","59384",
"광주","건강보험","계","수술건수[건]","건","47855","49958","51896","57707","59520","59778","62983","62946","63678","64304","65608","64440","65815","71152","68141","72244","73507",
"광주","건강보험","백내장 수술","수술인원수[명]","명","6406","7049","7652","8214","9528","10337","10468","10996","11913","13283","13677","13701","14562","17261","15978","18422","18950",
"광주","건강보험","백내장 수술","수술건수[건]","건","8109","9029","10058","10939","13096","14251","14637","15396","16832","18974","19414","19510","21246","25849","25062","29168","30101",
"광주","건강보험","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","2480","2322","2453","2254","2099","2249","2282","2137","1994","1835","1836","1933","1681","1751","1479","950","778",
"광주","건강보험","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","2496","2332","2468","2272","2121","2271","2319","2173","2022","1873","1879","1988","1704","1785","1521","989","789",
"광주","건강보험","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","324","293","317","313","312","269","322","360","385","389","387","322","384","358","325","365","449",
"광주","건강보험","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","333","301","329","326","320","277","330","369","398","398","402","332","391","368","332","371","463",
"광주","건강보험","스텐트삽입술","수술인원수[명]","명","1604","1653","1639","1881","2094","2003","2180","2153","2432","2415","2536","2543","2971","3288","3292","3337","3294",
"광주","건강보험","스텐트삽입술","수술건수[건]","건","1652","1697","1697","1947","2148","2045","2219","2200","2487","2458","2615","2612","3043","3376","3383","3402","3386",
"광주","건강보험","관상동맥 우회수술","수술인원수[명]","명","70","58","47","59","53","74","60","69","115","127","141","138","136","132","163","188","169",
"광주","건강보험","관상동맥 우회수술","수술건수[건]","건","70","58","47","60","53","74","60","69","116","127","142","138","136","132","163","188","169",
"광주","건강보험","심장 카테터 삽입술","수술인원수[명]","명","26","14","8","9","16","19","16","21","20","15","19","28","23","33","17","41","92",
"광주","건강보험","심장 카테터 삽입술","수술건수[건]","건","26","14","8","9","16","19","16","21","21","15","19","28","23","33","17","42","93",
"광주","건강보험","정맥류 결찰 및 제거수술","수술인원수[명]","명","426","516","74","453","877","887","959","976","967","662","636","540","488","431","440","329","231",
"광주","건강보험","정맥류 결찰 및 제거수술","수술건수[건]","건","431","529","107","456","878","892","967","996","983","691","665","544","494","434","446","334","234",
"광주","건강보험","충수절제술","수술인원수[명]","명","4158","4177","3989","4345","4231","4158","4273","4088","4016","3939","3793","3568","3263","3277","3056","2852","2669",
"광주","건강보험","충수절제술","수술건수[건]","건","4159","4183","3993","4349","4234","4159","4275","4092","4021","3978","3879","3643","3283","3288","3060","2873","2682",
"광주","건강보험","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","166","137","91","109","104","114","221","271","296","263","339","371","402","416","481","671","702",
"광주","건강보험","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","168","140","94","113","105","114","227","279","301","274","349","385","422","432","490","697","725",
"광주","건강보험","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","1099","1212","1308","1570","1837","1853","2229","2141","2116","2057","2541","2566","2727","3012","2952","3233","3131",
"광주","건강보험","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","1099","1212","1308","1570","1839","1853","2230","2144","2118","2059","2546","2570","2730","3020","2958","3234","3134",
"광주","건강보험","내시경 및 경피적 담도수술","수술인원수[명]","명","577","743","826","911","993","1128","1280","1329","1395","1438","1525","1546","1715","1933","1995","2143","2123",
"광주","건강보험","내시경 및 경피적 담도수술","수술건수[건]","건","621","811","908","993","1107","1285","1458","1549","1594","1654","1743","1796","1993","2417","2374","2530","2547",
"광주","건강보험","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","1241","1197","1206","1284","1311","1259","1152","1273","1216","1214","1222","1112","1118","1054","955","1041","1069",
"광주","건강보험","서혜 및 대퇴 허니아 수술","수술건수[건]","건","1254","1216","1229","1308","1322","1280","1167","1295","1232","1243","1255","1139","1136","1073","962","1050","1090",
"광주","건강보험","경요도 전립선 절제술","수술인원수[명]","명","138","225","191","226","272","233","294","265","286","310","429","487","585","539","620","583","609",
"광주","건강보험","경요도 전립선 절제술","수술건수[건]","건","139","225","191","226","272","233","294","268","286","313","433","489","586","545","624","584","610",
"광주","건강보험","전립선 절제술","수술인원수[명]","명","26","36","47","26","35","34","16","18","17","19","21","30","53","66","114","108","138",
"광주","건강보험","전립선 절제술","수술건수[건]","건","26","36","47","26","35","34","16","18","17","19","21","30","53","67","114","108","153",
"광주","건강보험","자궁절제술","수술인원수[명]","명","3575","3504","3596","3647","2597","1335","1276","1126","1104","1096","1141","1068","1135","1029","976","1010","1045",
"광주","건강보험","자궁절제술","수술건수[건]","건","3584","3521","3614","3677","2629","1336","1279","1127","1104","1098","1143","1068","1135","1031","977","1011","1048",
"광주","건강보험","제왕절개수술","수술인원수[명]","명","3293","4005","4925","5095","5541","5408","5671","5326","5339","5350","5361","4972","4979","4708","4639","4620","4744",
"광주","건강보험","제왕절개수술","수술건수[건]","건","3293","4006","4925","5097","5634","5410","5683","5338","5343","5351","5363","4974","4983","4710","4639","4626","4754",
"광주","건강보험","고관절 치환술","수술인원수[명]","명","95","102","107","129","128","117","161","159","1051","1156","1140","1241","1170","1074","998","1059","1022",
"광주","건강보험","고관절 치환술","수술건수[건]","건","98","104","108","135","133","120","165","167","1075","1181","1170","1270","1196","1096","1013","1075","1055",
"광주","건강보험","슬관절 치환술","수술인원수[명]","명","649","824","884","1017","1204","1509","1870","1964","2176","2502","2684","2733","2988","3108","2682","2718","2981",
"광주","건강보험","슬관절 치환술","수술건수[건]","건","662","850","900","1039","1240","1558","1932","2030","2241","2571","2788","2818","3059","3195","2747","2777","3124",
"광주","건강보험","유방 부분 절제술","수술인원수[명]","명","118","125","128","83","401","397","491","566","421","360","423","506","490","567","584","672","703",
"광주","건강보험","유방 부분 절제술","수술건수[건]","건","119","127","128","83","408","403","502","579","426","363","427","512","500","585","598","684","722",
"광주","건강보험","유방 전 절제술","수술인원수[명]","명","379","299","356","433","133","130","194","209","186","157","109","194","117","190","292","335","429",
"광주","건강보험","유방 전 절제술","수술건수[건]","건","384","304","360","437","133","130","195","209","187","157","109","194","117","191","292","335","430",
"광주","건강보험","뇌기저부 수술","수술인원수[명]","명","0","1","1","1","2","0","1","","","","-","-","-","-","","-","-",
"광주","건강보험","뇌기저부 수술","수술건수[건]","건","0","1","1","1","2","0","1","","","","-","-","-","-","-","-","-",
"광주","건강보험","뇌종양 수술","수술인원수[명]","명","43","32","28","43","42","46","50","39","31","21","18","15","12","5","8","16","24",
"광주","건강보험","뇌종양 수술","수술건수[건]","건","43","32","29","44","42","46","50","40","32","23","19","15","12","5","8","16","25",
"광주","건강보험","위 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","261","240","168","263","232","240","257","245","266","224","185","182","170","184","190","230","246",
"광주","건강보험","위 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","261","241","168","263","232","240","258","246","271","224","185","182","170","184","190","230","246",
"광주","건강보험","간 부분 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","44","49","49","48","53","44","44","25","53","68","93","60","81","58","54","60","56",
"광주","건강보험","간 부분 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","45","49","49","48","54","44","44","25","53","68","94","60","81","58","54","60","56",
"광주","건강보험","간색전술","수술인원수[명]","명","498","529","500","521","556","577","600","598","539","585","647","641","730","650","559","540","499",
"광주","건강보험","간색전술","수술건수[건]","건","778","829","828","854","839","836","813","802","737","751","841","794","917","786","673","604","551",
"광주","건강보험","갑상선 수술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","952","1053","1087","1270","1269","1278","1454","1533","1046","681","637","556","543","566","575","743","782",
"광주","건강보험","갑상선 수술(기타 질환에 의한 수술 포함)","수술건수[건]","건","954","1057","1090","1276","1272","1283","1463","1544","1050","683","641","556","547","572","577","745","787",
"광주","건강보험","선천성 심장기형 수술","수술인원수[명]","명","165","170","124","147","158","346","253","218","205","","","","","","","","",
"광주","건강보험","선천성 심장기형 수술","수술건수[건]","건","166","170","126","147","159","351","255","220","207","","","","","","","","",
"광주","건강보험","심장수술(관상동맥 우회수술 제외)","수술인원수[명]","명","","","","","","","","","","160","162","146","148","172","342","364","332",
"광주","건강보험","심장수술(관상동맥 우회수술 제외)","수술건수[건]","건","","","","","","","","","","161","164","146","152","175","350","379","342",
"광주","건강보험","순열 및 구개열 수술","수술인원수[명]","명","10","5","10","33","24","31","28","21","20","23","22","20","16","30","20","12","24",
"광주","건강보험","순열 및 구개열 수술","수술건수[건]","건","11","6","11","34","24","35","32","24","21","26","24","21","17","32","20","14","25",
"광주","건강보험","치핵 수술","수술인원수[명]","명","10198","9909","9970","9881","9065","9342","9791","9151","8788","8019","7382","7431","6783","6425","6021","5248","5445",
"광주","건강보험","치핵 수술","수술건수[건]","건","10351","10092","10121","10025","9162","9394","9846","9205","8831","8190","7710","7683","6906","6471","6078","5302","5504",
"광주","건강보험","내시경하 척추수술","수술인원수[명]","명","158","82","46","42","43","36","46","61","84","36","9","50","17","148","244","286","246",
"광주","건강보험","내시경하 척추수술","수술건수[건]","건","159","83","47","42","44","36","46","62","84","36","9","50","17","150","251","288","250",
"광주","건강보험","일반 척추수술","수술인원수[명]","명","4466","4806","5076","6508","6475","6219","7358","7473","6858","6418","6589","6185","6190","6505","6966","7483","7287",
"광주","건강보험","일반 척추수술","수술건수[건]","건","4630","4992","5259","6760","6733","6455","7686","7831","7163","6713","6901","6418","6448","6819","7205","7788","7636",
"광주","건강보험","내시경하 부비동 수술","수술인원수[명]","명","","","","2474","2681","2791","2896","2972","2859","3161","3289","3045","2862","2829","1369","1276","1296",
"광주","건강보험","내시경하 부비동 수술","수술건수[건]","건","","","","2557","2762","2906","3021","3069","2940","3219","3356","3129","2936","2925","1420","1320","1339",
"광주","건강보험","일반 부비동 수술","수술인원수[명]","명","1597","1585","1522","557","450","395","313","263","185","221","151","107","179","58","56","34","56",
"광주","건강보험","일반 부비동 수술","수술건수[건]","건","1734","1711","1648","594","472","408","318","266","214","228","157","112","188","62","59","36","57",
"광주","건강보험","줄기세포이식술","수술인원수[명]","명","","","","","","","","","","","","","","","","","3",
"광주","건강보험","줄기세포이식술","수술건수[건]","건","","","","","","","","","","","","","","","","","3",
"광주","의료급여","계","수술인원수[명]","명","2831","3028","3114","3280","3039","2683","2946","2924","3050","3054","3175","3075","3056","3107","2869","3014","2932",
"광주","의료급여","계","수술건수[건]","건","3125","3584","3454","3655","3348","2931","3176","3199","3383","3369","3517","3441","3419","3506","3243","3390","3373",
"광주","의료급여","백내장 수술","수술인원수[명]","명","261","291","263","270","226","198","190","215","277","309","370","386","342","423","330","388","412",
"광주","의료급여","백내장 수술","수술건수[건]","건","306","383","328","337","287","229","222","273","370","402","477","512","454","562","451","509","584",
"광주","의료급여","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","185","154","150","124","122","102","89","92","80","62","70","66","61","59","52","45","19",
"광주","의료급여","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","186","163","150","124","123","104","89","94","80","64","70","67","62","59","52","46","19",
"광주","의료급여","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","39","52","54","53","38","37","41","48","64","57","57","40","41","48","36","48","74",
"광주","의료급여","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","43","58","56","54","39","38","41","52","64","59","57","44","43","49","36","50","76",
"광주","의료급여","스텐트삽입술","수술인원수[명]","명","189","188","191","200","234","193","207","226","266","242","267","249","338","329","328","333","298",
"광주","의료급여","스텐트삽입술","수술건수[건]","건","199","209","203","211","238","198","210","229","274","254","276","259","348","345","342","347","310",
"광주","의료급여","관상동맥 우회수술","수술인원수[명]","명","13","14","6","4","10","7","8","7","12","17","19","10","14","23","16","27","20",
"광주","의료급여","관상동맥 우회수술","수술건수[건]","건","13","15","6","4","10","7","8","7","12","17","19","10","14","23","16","27","20",
"광주","의료급여","심장 카테터 삽입술","수술인원수[명]","명","5","1","3","2","2","3","1","4","3","3","1","3","-","4","5","6","9",
"광주","의료급여","심장 카테터 삽입술","수술건수[건]","건","5","1","3","2","2","3","1","4","3","3","1","3","-","4","5","8","9",
"광주","의료급여","정맥류 결찰 및 제거수술","수술인원수[명]","명","22","23","2","26","21","25","33","32","25","16","18","25","18","22","19","9","14",
"광주","의료급여","정맥류 결찰 및 제거수술","수술건수[건]","건","22","25","2","26","21","25","33","33","25","16","18","25","18","22","19","9","15",
"광주","의료급여","충수절제술","수술인원수[명]","명","271","271","303","311","250","255","245","239","214","182","186","173","160","164","131","126","105",
"광주","의료급여","충수절제술","수술건수[건]","건","271","294","303","313","250","255","245","239","214","183","186","173","160","164","132","127","105",
"광주","의료급여","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","37","28","22","15","11","15","32","26","35","37","28","38","43","38","46","65","73",
"광주","의료급여","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","39","32","23","19","11","15","32","26","35","39","28","38","43","39","46","67","76",
"광주","의료급여","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","91","105","125","160","141","119","150","151","179","181","190","172","208","201","177","211","190",
"광주","의료급여","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","91","117","125","162","141","119","150","151","179","181","191","172","208","201","177","211","190",
"광주","의료급여","내시경 및 경피적 담도수술","수술인원수[명]","명","64","114","129","141","142","133","156","149","149","166","163","185","188","206","217","240","241",
"광주","의료급여","내시경 및 경피적 담도수술","수술건수[건]","건","67","138","148","155","160","149","193","178","183","191","200","212","216","251","280","291","302",
"광주","의료급여","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","91","107","80","74","63","67","64","76","58","87","64","48","51","58","47","58","51",
"광주","의료급여","서혜 및 대퇴 허니아 수술","수술건수[건]","건","92","116","82","77","64","67","67","76","59","89","64","49","51","60","48","58","51",
"광주","의료급여","경요도 전립선 절제술","수술인원수[명]","명","17","30","23","18","23","14","10","20","22","14","32","39","25","47","46","43","46",
"광주","의료급여","경요도 전립선 절제술","수술건수[건]","건","18","32","23","19","23","14","10","20","23","14","32","39","25","48","47","44","48",
"광주","의료급여","전립선 절제술","수술인원수[명]","명","1","2","1","2","2","0","0","1","2","1","3","2","6","1","9","10","18",
"광주","의료급여","전립선 절제술","수술건수[건]","건","1","2","1","2","2","0","0","1","2","1","3","2","6","1","9","10","22",
"광주","의료급여","자궁절제술","수술인원수[명]","명","209","190","192","198","139","85","65","58","75","55","60","67","63","55","55","47","49",
"광주","의료급여","자궁절제술","수술건수[건]","건","211","205","192","200","140","85","65","58","75","55","60","67","63","55","55","48","49",
"광주","의료급여","제왕절개수술","수술인원수[명]","명","56","68","77","120","122","87","112","89","99","124","102","80","89","90","63","55","57",
"광주","의료급여","제왕절개수술","수술건수[건]","건","56","75","77","120","122","87","112","89","99","124","102","80","89","91","63","55","57",
"광주","의료급여","고관절 치환술","수술인원수[명]","명","28","26","26","34","31","27","39","33","160","166","179","186","175","157","141","164","142",
"광주","의료급여","고관절 치환술","수술건수[건]","건","32","29","28","34","32","28","40","35","163","170","181","194","182","160","146","167","145",
"광주","의료급여","슬관절 치환술","수술인원수[명]","명","130","157","175","136","152","140","191","179","207","234","248","235","234","236","213","194","226",
"광주","의료급여","슬관절 치환술","수술건수[건]","건","133","166","179","140","159","146","201","192","214","239","262","247","240","239","218","204","241",
"광주","의료급여","유방 부분 절제술","수술인원수[명]","명","10","8","15","6","19","27","22","22","27","23","25","22","25","19","23","17","25",
"광주","의료급여","유방 부분 절제술","수술건수[건]","건","10","9","15","6","19","27","22","22","27","23","25","22","25","22","24","17","25",
"광주","의료급여","유방 전 절제술","수술인원수[명]","명","14","17","30","26","11","7","19","16","17","18","6","18","12","10","13","9","24",
"광주","의료급여","유방 전 절제술","수술건수[건]","건","14","19","30","26","11","7","19","17","17","18","6","19","12","10","13","9","24",
"광주","의료급여","뇌기저부 수술","수술인원수[명]","명","0","0","0","1","1","0","0","","","","-","-","-","-","","-","-",
"광주","의료급여","뇌기저부 수술","수술건수[건]","건","0","0","0","1","1","0","0","","","","-","-","-","-","-","-","-",
"광주","의료급여","뇌종양 수술","수술인원수[명]","명","7","5","12","4","10","6","5","6","3","3","3","1","2","-","","1","1",
"광주","의료급여","뇌종양 수술","수술건수[건]","건","7","6","12","4","10","7","5","6","3","3","3","1","2","-","-","1","1",
"광주","의료급여","위 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","32","35","20","39","23","29","29","30","34","19","19","18","11","16","16","24","27",
"광주","의료급여","위 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","32","40","20","40","23","29","29","30","34","19","20","18","11","16","16","24","27",
"광주","의료급여","간 부분 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","7","5","7","15","7","6","6","5","5","9","7","10","10","10","8","12","14",
"광주","의료급여","간 부분 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","7","5","7","16","7","7","6","5","5","9","8","10","11","10","8","12","14",
"광주","의료급여","간색전술","수술인원수[명]","명","100","114","97","114","96","76","94","88","84","78","101","97","101","72","78","62","69",
"광주","의료급여","간색전술","수술건수[건]","건","171","198","154","181","157","110","118","128","116","105","137","132","146","88","95","74","77",
"광주","의료급여","갑상선 수술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","44","57","59","73","65","57","66","64","44","32","36","36","38","26","37","36","34",
"광주","의료급여","갑상선 수술(기타 질환에 의한 수술 포함)","수술건수[건]","건","44","62","59","73","65","57","66","64","45","32","36","36","38","26","37","36","35",
"광주","의료급여","선천성 심장기형 수술","수술인원수[명]","명","34","30","31","20","15","35","16","28","18","","","","","","","","",
"광주","의료급여","선천성 심장기형 수술","수술건수[건]","건","34","33","31","22","15","36","16","28","18","","","","","","","","",
