Hospital Location,Insurance,Surgery,Category,Unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 22,Reference Surgery
Gyeonggi,Total,Appendectomy - Exploratory Laparotomy - 충수절제술,Surgery Received Person[Person],Person,21185.0,22059.0,19853.0,22103.0,21888.0,21390.0,22703.0,21889.0,21176.0,20462.0,20196,19312,18394,18476,17539,17860,17402,, Exploratory Laparotomy 
Gyeonggi,Total,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정",Surgery Received Person[Person],Person,1346.0,1446.0,1280.0,1262.0,721.0,671.0,1283.0,1564.0,1746.0,1781.0,1881,2028,2048,2292,2221,3013,3311,, Aortic valve replacement 
Gyeonggi,Total,Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함),Surgery Received Person[Person],Person,5570.0,5910.0,6338.0,8235.0,8832.0,9388.0,10485.0,10866.0,10849.0,11362.0,12770,14242,15202,16270,16521,17920,18933,, Laparoscopic cholecystectomy 
Gyeonggi,Total,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술,Surgery Received Person[Person],Person,2612.0,2852.0,2979.0,3427.0,3964.0,4169.0,4408.0,4653.0,4827.0,5485.0,5973,6046,6670,6925,7153,9708,10523,, Pylorus preserving pancreaticoduodenectomy 
Gyeonggi,Total,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술,Surgery Received Person[Person],Person,6453.0,6215.0,6172.0,6253.0,6441.0,6294.0,6425.0,6335.0,6000.0,5879.0,5820,5785,6046,5886,5343,5628,5809,, Exploratory laparotomy 
Gyeonggi,Total,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술,Surgery Received Person[Person],Person,762.0,724.0,819.0,999.0,1006.0,1099.0,1448.0,1692.0,1757.0,1724.0,1782,1819,1811,1955,1780,1857,2039,, Transurethral resection of prostate 
Gyeonggi,Total,Prostatectomy - Prostatectomy - 전립선 절제술,Surgery Received Person[Person],Person,443.0,438.0,307.0,401.0,353.0,414.0,425.0,429.0,338.0,213.0,206,234,272,287,280,281,248,, Prostatectomy 
Gyeonggi,Total,Hysterectomy - Total abdominal hysterectomy - 자궁절제술,Surgery Received Person[Person],Person,16426.0,17484.0,17503.0,18509.0,14610.0,8740.0,8768.0,8197.0,7959.0,7822.0,8288,8289,8280,8325,7948,8522,8834,, Total abdominal hysterectomy 
Gyeonggi,Total,Cesarean Section - Low cervical cesarean section - 제왕절개수술,Surgery Received Person[Person],Person,34902.0,41617.0,40316.0,38873.0,41739.0,41998.0,44249.0,40136.0,41623.0,43307.0,42122,39729,39930,39901,38265,38729,40752,, Low cervical cesarean section 
Gyeonggi,Total,Hip Replacement Surgery - Total hip replacement - 고관절 치환술,Surgery Received Person[Person],Person,873.0,940.0,989.0,1043.0,1111.0,1234.0,1282.0,1427.0,4865.0,4971.0,5277,5142,5456,5485,5542,5790,6208,, Total hip replacement 
Gyeonggi,Total,Knee Replacement Surgery - Total knee replacement - 슬관절 치환술,Surgery Received Person[Person],Person,4609.0,5458.0,5555.0,6310.0,7187.0,7219.0,8236.0,8632.0,9056.0,9563.0,10410,10508,11302,12664,11295,12053,12940,, Total knee replacement 
Gyeonggi,Total,Partial Mastectomy - Mastectomy - 유방 부분 절제술,Surgery Received Person[Person],Person,1577.0,1816.0,2061.0,1327.0,3577.0,3534.0,3724.0,3713.0,3419.0,3269.0,3461,4543,5965,6464,6407,7598,8229,, Mastectomy 
Gyeonggi,Total,Total Mastectomy - Mastectomy - 유방 전 절제술,Surgery Received Person[Person],Person,3318.0,3565.0,3463.0,4592.0,2220.0,2547.0,3240.0,3434.0,3694.0,3634.0,2766,3236,1811,2248,2131,2655,3048,, Mastectomy 
Gyeonggi,Total,Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술,Surgery Received Person[Person],Person,71.0,60.0,42.0,44.0,23.0,33.0,34.0,40.0,57.0,66.0,74,54,43,31,37,22,20,, Craniotomy and removal of brain tumor 
Gyeonggi,Total,Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술,Surgery Received Person[Person],Person,530.0,634.0,585.0,720.0,726.0,749.0,861.0,880.0,888.0,991.0,1064,1195,902,1071,1022,1257,1292,, Craniotomy and removal of brain tumor 
Gyeonggi,Total,Gastrectomy - Total gastrectomy - 위 절제술,Surgery Received Person[Person],Person,2710.0,2894.0,2434.0,2986.0,2929.0,3110.0,3029.0,2872.0,3038.0,3011.0,3392,3203,3063,2886,2903,3130,3176,, Total gastrectomy 
Gyeonggi,Total,Liver Resection - Wedge resection of liver - 간 부분 절제술,Surgery Received Person[Person],Person,623.0,689.0,656.0,791.0,797.0,854.0,941.0,983.0,997.0,1112.0,1190,1204,1288,1321,1433,1291,1338,, Wedge resection of liver 
Gyeonggi,Total,Hepatic Embolization - Lobectomy of liver - 간색전술,Surgery Received Person[Person],Person,2840.0,3128.0,3174.0,3460.0,3912.0,3902.0,4057.0,4362.0,4475.0,4539.0,4657,4325,4393,4577,4453,4771,4742,, Lobectomy of liver 
Gyeonggi,Total,Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함),Surgery Received Person[Person],Person,3285.0,4357.0,5079.0,5977.0,6076.0,6358.0,6972.0,6833.0,4955.0,3763.0,4117,4112,4549,4829,4929,6306,6585,, Bilateral thyroidectomy 
Gyeonggi,Total,Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술,Surgery Received Person[Person],Person,1022.0,1010.0,978.0,1127.0,1057.0,1568.0,1065.0,1181.0,1009.0,,,,,,,,,, PDA ligation 
Gyeonggi,Total,"Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)""",Surgery Received Person[Person],Person,,,,,,,,,,1091.0,1066,1140,1093,1080,1300,1381,1317,, Aortic valve replacement 
Gyeonggi,Total,Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술,Surgery Received Person[Person],Person,42.0,31.0,35.0,125.0,98.0,118.0,111.0,148.0,140.0,140.0,143,147,112,124,132,132,142,, Bilateral thyroidectomy 
Gyeonggi,Total,Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술,Surgery Received Person[Person],Person,314.0,186.0,106.0,309.0,189.0,152.0,202.0,355.0,506.0,287.0,664,2007,2599,2845,2587,2820,3933,, Laminectomy 
Gyeonggi,Total,General Spine Surgery - Laminectomy - 일반 척추수술,Surgery Received Person[Person],Person,13820.0,15338.0,18593.0,21700.0,25753.0,25728.0,29195.0,30035.0,31159.0,31570.0,32728,33889,35606,36200,37968,39916,40169,, Laminectomy 
Gyeonggi,Total,Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술,Surgery Received Person[Person],Person,,,,7795.0,9138.0,10256.0,11715.0,10780.0,10688.0,10054.0,9788,10232,10323,10360,6401,6796,6698,, Bilateral thyroidectomy 
Gyeonggi,Total,General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술,Surgery Received Person[Person],Person,5122.0,5162.0,5059.0,1439.0,1141.0,1033.0,1136.0,1146.0,1013.0,843.0,839,984,1240,584,474,456,405,, Bilateral thyroidectomy 
Gyeonggi,Total,Stem Cell Transplantation - Liver transplantation - 줄기세포이식술,Surgery Received Person[Person],Person,,,,,,,,,,,,,,,,,261,, Liver transplantation 
Gangwon,Total,Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이),Surgery Received Person[Person],Person,1415.0,1194.0,1133.0,1391.0,1114.0,1084.0,1074.0,1086.0,932.0,752.0,920,964,987,1010,739,482,390,, Bilateral thyroidectomy 
Gangwon,Total,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술,Surgery Received Person[Person],Person,107.0,122.0,134.0,168.0,222.0,203.0,169.0,249.0,305.0,311.0,318,300,308,325,279,294,292,, Aortic valve replacement 
Gangwon,Total,Stent Insertion - Aortic valve replacement - 스텐트삽입술,Surgery Received Person[Person],Person,1198.0,1404.0,1504.0,1662.0,1732.0,1858.0,1859.0,1827.0,1990.0,1890.0,2075,2095,2057,2118,1911,2101,1907,, Aortic valve replacement 
Gangwon,Total,Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술,Surgery Received Person[Person],Person,28.0,18.0,30.0,38.0,16.0,23.0,22.0,31.0,15.0,33.0,53,55,55,83,100,121,127,, Graft replacement of Aorta 
Gangwon,Total,Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술,Surgery Received Person[Person],Person,30.0,23.0,31.0,27.0,27.0,17.0,13.0,15.0,8.0,13.0,15,13,10,31,16,22,15,, Aortic valve replacement 
Gangwon,Total,Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술,Surgery Received Person[Person],Person,552.0,809.0,172.0,698.0,786.0,606.0,621.0,600.0,624.0,507.0,490,408,351,365,290,248,195,, PDA ligation 
Gangwon,Total,Appendectomy - Exploratory Laparotomy - 충수절제술,Surgery Received Person[Person],Person,3219.0,3410.0,3480.0,3550.0,3080.0,2749.0,2953.0,2660.0,2599.0,2586.0,2466,2359,2173,2369,2134,2122,1897,, Exploratory Laparotomy 
Gangwon,Total,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정",Surgery Received Person[Person],Person,192.0,158.0,164.0,207.0,206.0,198.0,296.0,341.0,334.0,356.0,385,439,439,378,420,467,529,, Aortic valve replacement 
Gangwon,Total,Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함),Surgery Received Person[Person],Person,879.0,986.0,1005.0,1222.0,1289.0,1374.0,1523.0,1597.0,1592.0,1679.0,1861,1885,2217,2316,2268,2451,2465,, Laparoscopic cholecystectomy 
Gangwon,Total,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술,Surgery Received Person[Person],Person,538.0,434.0,628.0,810.0,860.0,850.0,864.0,891.0,1001.0,972.0,1063,1160,1211,1226,1242,1749,1659,, Pylorus preserving pancreaticoduodenectomy 
Gangwon,Total,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술,Surgery Received Person[Person],Person,866.0,873.0,916.0,898.0,881.0,831.0,864.0,861.0,822.0,852.0,789,860,761,777,732,789,730,, Exploratory laparotomy 
Gangwon,Total,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술,Surgery Received Person[Person],Person,181.0,157.0,178.0,195.0,192.0,209.0,200.0,178.0,262.0,323.0,353,297,249,231,191,196,213,, Transurethral resection of prostate 
Gangwon,Total,Prostatectomy - Prostatectomy - 전립선 절제술,Surgery Received Person[Person],Person,30.0,52.0,51.0,52.0,63.0,69.0,87.0,87.0,53.0,60.0,45,65,50,72,73,51,27,, Prostatectomy 
Gangwon,Total,Hysterectomy - Total abdominal hysterectomy - 자궁절제술,Surgery Received Person[Person],Person,2346.0,2434.0,2369.0,2188.0,1630.0,1006.0,889.0,1035.0,941.0,948.0,1077,948,940,964,859,901,816,, Total abdominal hysterectomy 
Gangwon,Total,Cesarean Section - Low cervical cesarean section - 제왕절개수술,Surgery Received Person[Person],Person,4272.0,4986.0,4667.0,4305.0,4451.0,4319.0,4572.0,4301.0,4266.0,4503.0,4452,4226,4115,4198,4327,4353,4589,, Low cervical cesarean section 
Gangwon,Total,Hip Replacement Surgery - Total hip replacement - 고관절 치환술,Surgery Received Person[Person],Person,263.0,259.0,270.0,224.0,233.0,215.0,188.0,203.0,666.0,714.0,707,688,772,739,736,708,775,, Total hip replacement 
Gangwon,Total,Knee Replacement Surgery - Total knee replacement - 슬관절 치환술,Surgery Received Person[Person],Person,565.0,546.0,643.0,780.0,945.0,922.0,1058.0,1092.0,1082.0,1232.0,1549,1583,1622,1830,1673,1679,1799,, Total knee replacement 
Gangwon,Total,Partial Mastectomy - Mastectomy - 유방 부분 절제술,Surgery Received Person[Person],Person,137.0,168.0,207.0,55.0,430.0,429.0,339.0,360.0,382.0,374.0,494,472,560,542,548,647,633,, Mastectomy 
Gangwon,Total,Total Mastectomy - Mastectomy - 유방 전 절제술,Surgery Received Person[Person],Person,450.0,462.0,494.0,545.0,169.0,159.0,205.0,254.0,245.0,276.0,180,251,154,157,115,122,154,, Mastectomy 
Gangwon,Total,Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술,Surgery Received Person[Person],Person,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,1.0,,-,-,4,-,,-,3,, Craniotomy and removal of brain tumor 
Gangwon,Total,Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술,Surgery Received Person[Person],Person,40.0,46.0,51.0,78.0,90.0,56.0,56.0,59.0,61.0,75.0,47,48,36,50,47,54,88,, Craniotomy and removal of brain tumor 
Gangwon,Total,Gastrectomy - Total gastrectomy - 위 절제술,Surgery Received Person[Person],Person,328.0,312.0,276.0,330.0,301.0,325.0,363.0,346.0,339.0,311.0,318,320,345,319,345,360,336,, Total gastrectomy 
Gangwon,Total,Liver Resection - Wedge resection of liver - 간 부분 절제술,Surgery Received Person[Person],Person,27.0,49.0,46.0,70.0,79.0,68.0,99.0,120.0,105.0,138.0,159,133,155,129,127,131,113,, Wedge resection of liver 
Gangwon,Total,Hepatic Embolization - Lobectomy of liver - 간색전술,Surgery Received Person[Person],Person,396.0,421.0,431.0,504.0,472.0,540.0,570.0,456.0,422.0,477.0,441,484,469,551,581,625,598,, Lobectomy of liver 
Gangwon,Total,Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함),Surgery Received Person[Person],Person,264.0,319.0,399.0,467.0,469.0,488.0,541.0,525.0,430.0,331.0,292,382,400,372,367,424,413,, Bilateral thyroidectomy 
Gangwon,Total,Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술,Surgery Received Person[Person],Person,56.0,42.0,54.0,70.0,51.0,207.0,56.0,44.0,28.0,,,,,,,,,, PDA ligation 
Gangwon,Total,"Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)""",Surgery Received Person[Person],Person,,,,,,,,,,49.0,73,66,80,103,165,182,175,, Aortic valve replacement 
Gangwon,Total,Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술,Surgery Received Person[Person],Person,0.0,0.0,4.0,6.0,5.0,6.0,6.0,5.0,4.0,2.0,1,3,-,1,3,2,3,, Bilateral thyroidectomy 
Gangwon,Total,Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술,Surgery Received Person[Person],Person,40.0,41.0,80.0,43.0,12.0,14.0,17.0,9.0,2.0,3.0,3,23,10,14,49,141,165,, Laminectomy 
Gangwon,Total,General Spine Surgery - Laminectomy - 일반 척추수술,Surgery Received Person[Person],Person,1565.0,1779.0,1883.0,2196.0,2534.0,2427.0,3163.0,3115.0,2961.0,2903.0,3238,3323,3419,3617,3460,3581,3731,, Laminectomy 
Gangwon,Total,Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술,Surgery Received Person[Person],Person,,,,1154.0,1226.0,1195.0,1306.0,1309.0,1285.0,1309.0,1423,1303,1422,1367,870,844,950,, Bilateral thyroidectomy 
Gangwon,Total,General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술,Surgery Received Person[Person],Person,769.0,675.0,754.0,166.0,253.0,98.0,216.0,129.0,79.0,77.0,71,76,175,196,90,90,50,, Bilateral thyroidectomy 
Gangwon,Total,Stem Cell Transplantation - Liver transplantation - 줄기세포이식술,Surgery Received Person[Person],Person,,,,,,,,,,,,,,,,,17,, Liver transplantation 
Chungbuk,Total,Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이),Surgery Received Person[Person],Person,967.0,1049.0,927.0,843.0,915.0,952.0,1011.0,993.0,880.0,701.0,704,812,681,666,558,383,319,, Bilateral thyroidectomy 
Chungbuk,Total,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술,Surgery Received Person[Person],Person,85.0,124.0,127.0,165.0,206.0,187.0,193.0,223.0,187.0,189.0,186,173,216,227,214,207,223,, Aortic valve replacement 
Chungbuk,Total,Stent Insertion - Aortic valve replacement - 스텐트삽입술,Surgery Received Person[Person],Person,414.0,615.0,625.0,842.0,1120.0,1179.0,1311.0,1369.0,1514.0,1655.0,1792,1755,1796,1767,1578,1646,1745,, Aortic valve replacement 
Chungbuk,Total,Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술,Surgery Received Person[Person],Person,2.0,0.0,3.0,1.0,3.0,2.0,2.0,4.0,,1.0,7,2,1,1,,21,28,, Graft replacement of Aorta 
Chungbuk,Total,Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술,Surgery Received Person[Person],Person,10.0,11.0,1.0,2.0,3.0,2.0,8.0,12.0,8.0,11.0,13,13,10,12,11,33,49,, Aortic valve replacement 
Chungbuk,Total,Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술,Surgery Received Person[Person],Person,320.0,365.0,32.0,242.0,354.0,322.0,390.0,451.0,468.0,353.0,369,345,324,396,309,247,319,, PDA ligation 
Chungbuk,Total,Appendectomy - Exploratory Laparotomy - 충수절제술,Surgery Received Person[Person],Person,2951.0,3147.0,3012.0,3149.0,3122.0,2974.0,3132.0,3163.0,3109.0,2843.0,3043,2841,2712,2718,2612,2492,2550,, Exploratory Laparotomy 
Chungbuk,Total,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정",Surgery Received Person[Person],Person,43.0,66.0,71.0,103.0,56.0,62.0,160.0,163.0,155.0,212.0,171,235,241,235,213,209,295,, Aortic valve replacement 
Chungbuk,Total,Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함),Surgery Received Person[Person],Person,640.0,783.0,708.0,996.0,1079.0,1127.0,1295.0,1285.0,1378.0,1386.0,1535,1557,1769,1954,1933,1989,2001,, Laparoscopic cholecystectomy 
Chungbuk,Total,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술,Surgery Received Person[Person],Person,282.0,432.0,451.0,488.0,598.0,624.0,676.0,708.0,730.0,652.0,725,785,795,881,912,1171,1281,, Pylorus preserving pancreaticoduodenectomy 
Chungbuk,Total,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술,Surgery Received Person[Person],Person,856.0,859.0,738.0,782.0,809.0,891.0,890.0,885.0,874.0,821.0,810,768,829,803,764,765,775,, Exploratory laparotomy 
Chungbuk,Total,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술,Surgery Received Person[Person],Person,246.0,252.0,284.0,243.0,266.0,267.0,321.0,378.0,406.0,388.0,481,491,466,517,406,370,315,, Transurethral resection of prostate 
Chungbuk,Total,Prostatectomy - Prostatectomy - 전립선 절제술,Surgery Received Person[Person],Person,29.0,47.0,38.0,58.0,60.0,51.0,65.0,58.0,31.0,40.0,39,58,42,27,4,4,8,, Prostatectomy 
Chungbuk,Total,Hysterectomy - Total abdominal hysterectomy - 자궁절제술,Surgery Received Person[Person],Person,1650.0,1660.0,1720.0,1750.0,1462.0,1148.0,1100.0,923.0,789.0,912.0,824,751,878,1006,1098,1081,1130,, Total abdominal hysterectomy 
Chungbuk,Total,Cesarean Section - Low cervical cesarean section - 제왕절개수술,Surgery Received Person[Person],Person,3620.0,4441.0,4706.0,4781.0,5289.0,5174.0,5329.0,4581.0,4616.0,4809.0,4713,4485,4405,4093,4124,4351,4253,, Low cervical cesarean section 
Chungbuk,Total,Hip Replacement Surgery - Total hip replacement - 고관절 치환술,Surgery Received Person[Person],Person,118.0,122.0,98.0,96.0,117.0,125.0,175.0,175.0,776.0,855.0,895,897,905,871,845,908,957,, Total hip replacement 
Chungbuk,Total,Knee Replacement Surgery - Total knee replacement - 슬관절 치환술,Surgery Received Person[Person],Person,729.0,828.0,872.0,951.0,1088.0,1151.0,1367.0,1374.0,1558.0,1528.0,1992,1997,1971,2099,1870,1802,1937,, Total knee replacement 
Chungbuk,Total,Partial Mastectomy - Mastectomy - 유방 부분 절제술,Surgery Received Person[Person],Person,52.0,62.0,54.0,62.0,227.0,243.0,252.0,265.0,246.0,264.0,274,254,344,381,363,399,410,, Mastectomy 
Chungbuk,Total,Total Mastectomy - Mastectomy - 유방 전 절제술,Surgery Received Person[Person],Person,216.0,205.0,199.0,216.0,69.0,71.0,126.0,121.0,88.0,124.0,128,114,87,181,219,186,177,, Mastectomy 
Chungbuk,Total,Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술,Surgery Received Person[Person],Person,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,,6.0,2,2,-,-,2,1,1,, Craniotomy and removal of brain tumor 
Chungbuk,Total,Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술,Surgery Received Person[Person],Person,41.0,41.0,28.0,49.0,27.0,47.0,36.0,40.0,58.0,58.0,60,47,39,41,40,54,44,, Craniotomy and removal of brain tumor 
Chungbuk,Total,Gastrectomy - Total gastrectomy - 위 절제술,Surgery Received Person[Person],Person,183.0,196.0,167.0,213.0,187.0,221.0,278.0,250.0,260.0,226.0,242,221,222,213,225,206,194,, Total gastrectomy 
Chungbuk,Total,Liver Resection - Wedge resection of liver - 간 부분 절제술,Surgery Received Person[Person],Person,27.0,21.0,36.0,33.0,36.0,43.0,58.0,62.0,57.0,66.0,51,61,61,66,63,61,28,, Wedge resection of liver 
Chungbuk,Total,Hepatic Embolization - Lobectomy of liver - 간색전술,Surgery Received Person[Person],Person,129.0,173.0,152.0,207.0,218.0,206.0,226.0,221.0,232.0,257.0,304,305,338,397,415,420,452,, Lobectomy of liver 
Chungbuk,Total,Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함),Surgery Received Person[Person],Person,274.0,315.0,259.0,399.0,427.0,561.0,560.0,558.0,345.0,315.0,345,317,304,306,292,304,244,, Bilateral thyroidectomy 
Chungbuk,Total,Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술,Surgery Received Person[Person],Person,19.0,14.0,17.0,18.0,20.0,137.0,30.0,22.0,15.0,,,,,,,,,, PDA ligation 
Chungbuk,Total,"Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)""",Surgery Received Person[Person],Person,,,,,,,,,,21.0,24,16,10,14,20,37,37,, Aortic valve replacement 
Chungbuk,Total,Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술,Surgery Received Person[Person],Person,3.0,1.0,3.0,5.0,6.0,5.0,6.0,5.0,7.0,3.0,7,2,2,1,1,-,2,, Bilateral thyroidectomy 
Chungbuk,Total,Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술,Surgery Received Person[Person],Person,2.0,1.0,3.0,3.0,1.0,0.0,4.0,3.0,14.0,5.0,18,128,444,857,664,759,680,, Laminectomy 
Chungbuk,Total,General Spine Surgery - Laminectomy - 일반 척추수술,Surgery Received Person[Person],Person,1294.0,1345.0,1394.0,2918.0,3641.0,3419.0,3387.0,3296.0,3662.0,3793.0,3394,3195,3150,3519,3766,3661,4081,, Laminectomy 
Chungbuk,Total,Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술,Surgery Received Person[Person],Person,,,,1066.0,1306.0,1584.0,1628.0,1711.0,1852.0,1928.0,1967,1773,1670,1457,752,740,837,, Bilateral thyroidectomy 
Chungbuk,Total,General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술,Surgery Received Person[Person],Person,873.0,914.0,943.0,245.0,188.0,208.0,237.0,196.0,106.0,133.0,36,113,101,55,47,13,20,, Bilateral thyroidectomy 
Chungbuk,Total,Stem Cell Transplantation - Liver transplantation - 줄기세포이식술,Surgery Received Person[Person],Person,,,,,,,,,,,,,,,,,-,, Liver transplantation 
Jeonbuk,Total,Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이),Surgery Received Person[Person],Person,1727.0,1682.0,1559.0,1612.0,1674.0,1767.0,1945.0,2028.0,2041.0,1860.0,2194,2008,1930,1763,1240,851,713,, Bilateral thyroidectomy 
Jeonbuk,Total,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술,Surgery Received Person[Person],Person,81.0,128.0,120.0,142.0,127.0,113.0,109.0,96.0,102.0,100.0,144,143,166,178,168,197,203,, Aortic valve replacement 
Jeonbuk,Total,Stent Insertion - Aortic valve replacement - 스텐트삽입술,Surgery Received Person[Person],Person,1078.0,1276.0,1340.0,1609.0,1688.0,1676.0,1943.0,1873.0,1896.0,1806.0,2144,2185,2381,2481,2449,2627,2552,, Aortic valve replacement 
Jeonbuk,Total,Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술,Surgery Received Person[Person],Person,30.0,48.0,69.0,48.0,54.0,39.0,43.0,42.0,41.0,47.0,67,57,62,34,46,69,59,, Graft replacement of Aorta 
Jeonbuk,Total,Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술,Surgery Received Person[Person],Person,27.0,33.0,33.0,21.0,24.0,23.0,30.0,16.0,15.0,13.0,23,25,7,6,12,11,17,, Aortic valve replacement 
Jeonbuk,Total,Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술,Surgery Received Person[Person],Person,773.0,1130.0,214.0,833.0,1237.0,1293.0,1278.0,1364.0,1258.0,1136.0,1129,1116,1144,1215,1190,1192,1072,, PDA ligation 
Jeonbuk,Total,Appendectomy - Exploratory Laparotomy - 충수절제술,Surgery Received Person[Person],Person,4497.0,4397.0,4058.0,4489.0,4266.0,4163.0,4051.0,3720.0,3485.0,3447.0,3316,3105,2903,2873,2804,2738,2475,, Exploratory Laparotomy 
Jeonbuk,Total,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정",Surgery Received Person[Person],Person,148.0,182.0,120.0,173.0,116.0,134.0,215.0,274.0,279.0,282.0,335,315,355,357,410,540,662,, Aortic valve replacement 
Jeonbuk,Total,Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함),Surgery Received Person[Person],Person,1242.0,1253.0,1342.0,1805.0,1825.0,1858.0,2081.0,2177.0,2137.0,2296.0,2426,2525,2762,3064,3326,3573,3555,, Laparoscopic cholecystectomy 
Jeonbuk,Total,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술,Surgery Received Person[Person],Person,637.0,840.0,842.0,954.0,1064.0,1130.0,1223.0,1403.0,1333.0,1479.0,1563,1606,1804,1908,1989,2295,2163,, Pylorus preserving pancreaticoduodenectomy 
Jeonbuk,Total,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술,Surgery Received Person[Person],Person,1334.0,1341.0,1335.0,1330.0,1386.0,1341.0,1226.0,1256.0,1243.0,1154.0,1113,1151,1172,1052,1074,1037,1069,, Exploratory laparotomy 
