"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Gwangju","Medical Insurance","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","4159","4183","3993","4349","4234","4159","4275","4092","4021","3978","3879","3643","3283","3288","3060","2873","2682",
"Gwangju","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","166","137","91","109","104","114","221","271","296","263","339","371","402","416","481","671","702",
"Gwangju","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","168","140","94","113","105","114","227","279","301","274","349","385","422","432","490","697","725",
"Gwangju","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","1099","1212","1308","1570","1837","1853","2229","2141","2116","2057","2541","2566","2727","3012","2952","3233","3131",
"Gwangju","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","1099","1212","1308","1570","1839","1853","2230","2144","2118","2059","2546","2570","2730","3020","2958","3234","3134",
"Gwangju","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","577","743","826","911","993","1128","1280","1329","1395","1438","1525","1546","1715","1933","1995","2143","2123",
"Gwangju","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","621","811","908","993","1107","1285","1458","1549","1594","1654","1743","1796","1993","2417","2374","2530","2547",
"Gwangju","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","1241","1197","1206","1284","1311","1259","1152","1273","1216","1214","1222","1112","1118","1054","955","1041","1069",
"Gwangju","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","1254","1216","1229","1308","1322","1280","1167","1295","1232","1243","1255","1139","1136","1073","962","1050","1090",
"Gwangju","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","138","225","191","226","272","233","294","265","286","310","429","487","585","539","620","583","609",
"Gwangju","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","139","225","191","226","272","233","294","268","286","313","433","489","586","545","624","584","610",
"Gwangju","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","26","36","47","26","35","34","16","18","17","19","21","30","53","66","114","108","138",
"Gwangju","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","26","36","47","26","35","34","16","18","17","19","21","30","53","67","114","108","153",
"Gwangju","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","3575","3504","3596","3647","2597","1335","1276","1126","1104","1096","1141","1068","1135","1029","976","1010","1045",
"Gwangju","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","3584","3521","3614","3677","2629","1336","1279","1127","1104","1098","1143","1068","1135","1031","977","1011","1048",
"Gwangju","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","3293","4005","4925","5095","5541","5408","5671","5326","5339","5350","5361","4972","4979","4708","4639","4620","4744",
"Gwangju","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","3293","4006","4925","5097","5634","5410","5683","5338","5343","5351","5363","4974","4983","4710","4639","4626","4754",
"Gwangju","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","95","102","107","129","128","117","161","159","1051","1156","1140","1241","1170","1074","998","1059","1022",
"Gwangju","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","98","104","108","135","133","120","165","167","1075","1181","1170","1270","1196","1096","1013","1075","1055",
"Gwangju","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","649","824","884","1017","1204","1509","1870","1964","2176","2502","2684","2733","2988","3108","2682","2718","2981",
"Gwangju","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","662","850","900","1039","1240","1558","1932","2030","2241","2571","2788","2818","3059","3195","2747","2777","3124",
"Gwangju","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","118","125","128","83","401","397","491","566","421","360","423","506","490","567","584","672","703",
"Gwangju","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","119","127","128","83","408","403","502","579","426","363","427","512","500","585","598","684","722",
"Gwangju","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","379","299","356","433","133","130","194","209","186","157","109","194","117","190","292","335","429",
"Gwangju","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","384","304","360","437","133","130","195","209","187","157","109","194","117","191","292","335","430",
"Gwangju","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","0","1","1","1","2","0","1","","","","-","-","-","-","","-","-",
"Gwangju","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","0","1","1","1","2","0","1","","","","-","-","-","-","-","-","-",
"Gwangju","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","43","32","28","43","42","46","50","39","31","21","18","15","12","5","8","16","24",
"Gwangju","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","43","32","29","44","42","46","50","40","32","23","19","15","12","5","8","16","25",
"Gwangju","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","261","240","168","263","232","240","257","245","266","224","185","182","170","184","190","230","246",
"Gwangju","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","261","241","168","263","232","240","258","246","271","224","185","182","170","184","190","230","246",
"Gwangju","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","44","49","49","48","53","44","44","25","53","68","93","60","81","58","54","60","56",
"Gwangju","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","45","49","49","48","54","44","44","25","53","68","94","60","81","58","54","60","56",
"Gwangju","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","498","529","500","521","556","577","600","598","539","585","647","641","730","650","559","540","499",
"Gwangju","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","778","829","828","854","839","836","813","802","737","751","841","794","917","786","673","604","551",
"Gwangju","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","952","1053","1087","1270","1269","1278","1454","1533","1046","681","637","556","543","566","575","743","782",
"Gwangju","Medical Insurance","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","954","1057","1090","1276","1272","1283","1463","1544","1050","683","641","556","547","572","577","745","787",
"Gwangju","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","165","170","124","147","158","346","253","218","205","","","","","","","","",
"Gwangju","Medical Insurance","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","166","170","126","147","159","351","255","220","207","","","","","","","","",
"Gwangju","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","160","162","146","148","172","342","364","332",
"Gwangju","Medical Insurance",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","161","164","146","152","175","350","379","342",
"Gwangju","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","10","5","10","33","24","31","28","21","20","23","22","20","16","30","20","12","24",
"Gwangju","Medical Insurance","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","11","6","11","34","24","35","32","24","21","26","24","21","17","32","20","14","25",
"Gwangju","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","10198","9909","9970","9881","9065","9342","9791","9151","8788","8019","7382","7431","6783","6425","6021","5248","5445",
"Gwangju","Medical Insurance","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","10351","10092","10121","10025","9162","9394","9846","9205","8831","8190","7710","7683","6906","6471","6078","5302","5504",
"Gwangju","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","158","82","46","42","43","36","46","61","84","36","9","50","17","148","244","286","246",
"Gwangju","Medical Insurance","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","159","83","47","42","44","36","46","62","84","36","9","50","17","150","251","288","250",
"Gwangju","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","4466","4806","5076","6508","6475","6219","7358","7473","6858","6418","6589","6185","6190","6505","6966","7483","7287",
"Gwangju","Medical Insurance","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","4630","4992","5259","6760","6733","6455","7686","7831","7163","6713","6901","6418","6448","6819","7205","7788","7636",
"Gwangju","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","2474","2681","2791","2896","2972","2859","3161","3289","3045","2862","2829","1369","1276","1296",
"Gwangju","Medical Insurance","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","2557","2762","2906","3021","3069","2940","3219","3356","3129","2936","2925","1420","1320","1339",
"Gwangju","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","1597","1585","1522","557","450","395","313","263","185","221","151","107","179","58","56","34","56",
"Gwangju","Medical Insurance","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","1734","1711","1648","594","472","408","318","266","214","228","157","112","188","62","59","36","57",
"Gwangju","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","3",
"Gwangju","Medical Insurance","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","3",
"Gwangju","Medical Benefit","Total","Surgery Received Person[Person]","Person","2831","3028","3114","3280","3039","2683","2946","2924","3050","3054","3175","3075","3056","3107","2869","3014","2932",
"Gwangju","Medical Benefit","Total","Surgery Count[Unit]","Surgery","3125","3584","3454","3655","3348","2931","3176","3199","3383","3369","3517","3441","3419","3506","3243","3390","3373",
"Gwangju","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","261","291","263","270","226","198","190","215","277","309","370","386","342","423","330","388","412",
"Gwangju","Medical Benefit","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","306","383","328","337","287","229","222","273","370","402","477","512","454","562","451","509","584",
"Gwangju","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","185","154","150","124","122","102","89","92","80","62","70","66","61","59","52","45","19",
"Gwangju","Medical Benefit","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","186","163","150","124","123","104","89","94","80","64","70","67","62","59","52","46","19",
"Gwangju","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","39","52","54","53","38","37","41","48","64","57","57","40","41","48","36","48","74",
"Gwangju","Medical Benefit","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","43","58","56","54","39","38","41","52","64","59","57","44","43","49","36","50","76",
"Gwangju","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","189","188","191","200","234","193","207","226","266","242","267","249","338","329","328","333","298",
"Gwangju","Medical Benefit","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","199","209","203","211","238","198","210","229","274","254","276","259","348","345","342","347","310",
"Gwangju","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","13","14","6","4","10","7","8","7","12","17","19","10","14","23","16","27","20",
"Gwangju","Medical Benefit","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","13","15","6","4","10","7","8","7","12","17","19","10","14","23","16","27","20",
"Gwangju","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","5","1","3","2","2","3","1","4","3","3","1","3","-","4","5","6","9",
"Gwangju","Medical Benefit","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","5","1","3","2","2","3","1","4","3","3","1","3","-","4","5","8","9",
"Gwangju","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","22","23","2","26","21","25","33","32","25","16","18","25","18","22","19","9","14",
"Gwangju","Medical Benefit","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","22","25","2","26","21","25","33","33","25","16","18","25","18","22","19","9","15",
"Gwangju","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","271","271","303","311","250","255","245","239","214","182","186","173","160","164","131","126","105",
"Gwangju","Medical Benefit","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","271","294","303","313","250","255","245","239","214","183","186","173","160","164","132","127","105",
"Gwangju","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","37","28","22","15","11","15","32","26","35","37","28","38","43","38","46","65","73",
"Gwangju","Medical Benefit","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","39","32","23","19","11","15","32","26","35","39","28","38","43","39","46","67","76",
"Gwangju","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","91","105","125","160","141","119","150","151","179","181","190","172","208","201","177","211","190",
"Gwangju","Medical Benefit","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","91","117","125","162","141","119","150","151","179","181","191","172","208","201","177","211","190",
"Gwangju","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","64","114","129","141","142","133","156","149","149","166","163","185","188","206","217","240","241",
"Gwangju","Medical Benefit","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","67","138","148","155","160","149","193","178","183","191","200","212","216","251","280","291","302",
"Gwangju","Medical Benefit","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","91","107","80","74","63","67","64","76","58","87","64","48","51","58","47","58","51",
"Gwangju","Medical Benefit","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","92","116","82","77","64","67","67","76","59","89","64","49","51","60","48","58","51",
"Gwangju","Medical Benefit","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","17","30","23","18","23","14","10","20","22","14","32","39","25","47","46","43","46",
"Gwangju","Medical Benefit","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","18","32","23","19","23","14","10","20","23","14","32","39","25","48","47","44","48",
"Gwangju","Medical Benefit","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","1","2","1","2","2","0","0","1","2","1","3","2","6","1","9","10","18",
"Gwangju","Medical Benefit","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","1","2","1","2","2","0","0","1","2","1","3","2","6","1","9","10","22",
"Gwangju","Medical Benefit","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","209","190","192","198","139","85","65","58","75","55","60","67","63","55","55","47","49",
"Gwangju","Medical Benefit","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","211","205","192","200","140","85","65","58","75","55","60","67","63","55","55","48","49",
"Gwangju","Medical Benefit","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","56","68","77","120","122","87","112","89","99","124","102","80","89","90","63","55","57",
"Gwangju","Medical Benefit","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","56","75","77","120","122","87","112","89","99","124","102","80","89","91","63","55","57",
"Gwangju","Medical Benefit","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","28","26","26","34","31","27","39","33","160","166","179","186","175","157","141","164","142",
"Gwangju","Medical Benefit","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","32","29","28","34","32","28","40","35","163","170","181","194","182","160","146","167","145",
"Gwangju","Medical Benefit","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","130","157","175","136","152","140","191","179","207","234","248","235","234","236","213","194","226",
"Gwangju","Medical Benefit","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","133","166","179","140","159","146","201","192","214","239","262","247","240","239","218","204","241",
"Gwangju","Medical Benefit","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","10","8","15","6","19","27","22","22","27","23","25","22","25","19","23","17","25",
"Gwangju","Medical Benefit","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","10","9","15","6","19","27","22","22","27","23","25","22","25","22","24","17","25",
"Gwangju","Medical Benefit","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","14","17","30","26","11","7","19","16","17","18","6","18","12","10","13","9","24",
"Gwangju","Medical Benefit","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","14","19","30","26","11","7","19","17","17","18","6","19","12","10","13","9","24",
"Gwangju","Medical Benefit","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","0","0","0","1","1","0","0","","","","-","-","-","-","","-","-",
"Gwangju","Medical Benefit","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","0","0","0","1","1","0","0","","","","-","-","-","-","-","-","-",
"Gwangju","Medical Benefit","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","7","5","12","4","10","6","5","6","3","3","3","1","2","-","","1","1",
"Gwangju","Medical Benefit","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","7","6","12","4","10","7","5","6","3","3","3","1","2","-","-","1","1",
"Gwangju","Medical Benefit","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","32","35","20","39","23","29","29","30","34","19","19","18","11","16","16","24","27",
"Gwangju","Medical Benefit","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","32","40","20","40","23","29","29","30","34","19","20","18","11","16","16","24","27",
"Gwangju","Medical Benefit","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","7","5","7","15","7","6","6","5","5","9","7","10","10","10","8","12","14",
"Gwangju","Medical Benefit","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","7","5","7","16","7","7","6","5","5","9","8","10","11","10","8","12","14",
"Gwangju","Medical Benefit","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","100","114","97","114","96","76","94","88","84","78","101","97","101","72","78","62","69",
"Gwangju","Medical Benefit","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","171","198","154","181","157","110","118","128","116","105","137","132","146","88","95","74","77",
"Gwangju","Medical Benefit","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","44","57","59","73","65","57","66","64","44","32","36","36","38","26","37","36","34",
"Gwangju","Medical Benefit","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","44","62","59","73","65","57","66","64","45","32","36","36","38","26","37","36","35",
"Gwangju","Medical Benefit","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","34","30","31","20","15","35","16","28","18","","","","","","","","",
"Gwangju","Medical Benefit","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","34","33","31","22","15","36","16","28","18","","","","","","","","",
"Gwangju","Medical Benefit",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","23","26","22","19","16","42","54","53",
"Gwangju","Medical Benefit",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","23","28","23","19","16","43","56","55",
"Gwangju","Medical Benefit","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","1","2","2","4","2","5","6","2","6","3","5","6","3","5","2","2","1",
"Gwangju","Medical Benefit","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","1","3","2","4","2","5","6","2","6","3","5","8","3","7","2","2","1",
"Gwangju","Medical Benefit","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","451","466","478","530","428","384","460","422","330","352","355","350","279","285","246","214","206",
"Gwangju","Medical Benefit","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","464","501","490","534","435","386","462","424","333","355","357","353","282","289","246","216","208",
"Gwangju","Medical Benefit","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","7","2","2","2","2","2","3","2","2","","-","2","1","3","4","12","9",
"Gwangju","Medical Benefit","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","7","2","2","2","2","2","3","2","2","","-","2","1","3","4","12","9",
"Gwangju","Medical Benefit","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","437","477","578","558","599","522","607","598","578","551","547","526","537","539","580","629","575",
"Gwangju","Medical Benefit","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","463","532","615","583","624","544","642","636","617","587","582","554","571","574","614","668","609",
"Gwangju","Medical Benefit","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","120","121","127","104","111","128","140","141","124","119","116","48","55","40",
"Gwangju","Medical Benefit","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","122","125","127","107","113","131","141","143","124","121","118","48","60","40",
"Gwangju","Medical Benefit","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","83","102","85","41","26","18","16","11","15","14","9","5","12","7","2","2","3",
"Gwangju","Medical Benefit","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","86","114","88","42","28","18","19","11","17","14","9","6","13","7","3","3","3",
"Gwangju","Medical Benefit","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","1",
"Gwangju","Medical Benefit","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","1",
"Daejeon","Total","Total","Surgery Received Person[Person]","Person","47201","48813","49090","51312","53751","51374","54328","53529","53450","52633","55228","56000","56901","60205","55335","56515","57159",
"Daejeon","Total","Total","Surgery Count[Unit]","Surgery","52041","54173","54155","57248","60540","58312","60385","59383","59388","58949","62734","64363","65691","70455","65443","67633","69250",
"Daejeon","Total","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","7816","8179","8491","8574","9939","10682","10146","10374","10765","11162","12108","12555","13195","15025","14303","15075","15286",
"Daejeon","Total","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","10451","11101","11359","11620","13720","14957","14119","14250","14654","15473","17001","17842","19093","22076","21331","22504","22957",
"Daejeon","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","1469","1461","1397","1531","1561","1466","1591","1538","1426","1272","1489","1787","1632","1711","1266","864","748",
"Daejeon","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","1479","1465","1401","1538","1566","1469","1595","1542","1435","1274","1496","1828","1647","1720","1307","898","766",
"Daejeon","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","280","297","328","349","394","413","385","428","440","385","339","354","438","489","399","405","442",
