"Gender","Blood Type","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","RH(-)","Daegu/Gyeongbook","Donation Count[Unit]","Unit","774","784","744","826","833","863","882","1018","1013","1140","1063","969","989","1031","1004","834","1106","1033","1062",
"Men+Women","RH(-)","Daegu/Gyeongbook","Composition Rate[%]","%",".4",".4",".5",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".5",".5",".5",
"Men+Women","RH(-)","Incheon","Donation Count[Unit]","Unit","460","488","501","477","515","619","763","786","933","898","873","682","690","692","654","767","772","739","678",
"Men+Women","RH(-)","Incheon","Composition Rate[%]","%",".4",".4",".5",".4",".4",".4",".4",".5",".5",".5",".5",".4",".4",".4",".4",".5",".5",".4",".4",
"Men+Women","RH(-)","Ulsan","Donation Count[Unit]","Unit","334","353","279","291","276","360","323","325","341","451","455","384","355","374","397","382","391","395","500",
"Men+Women","RH(-)","Ulsan","Composition Rate[%]","%",".4",".4",".4",".4",".4",".5",".4",".4",".4",".5",".5",".4",".4",".4",".4",".5",".5",".5",".5",
"Men+Women","RH(-)","Gyeonggi","Donation Count[Unit]","Unit","587","526","509","601","616","713","748","844","972","1001","996","965","966","990","934","1061","1191","1058","1073",
"Men+Women","RH(-)","Gyeonggi","Composition Rate[%]","%",".4",".4",".4",".4",".4",".4",".4",".5",".5",".5",".5",".5",".5",".5",".4",".5",".5",".5",".5",
"Men+Women","RH(-)","Gangwon","Donation Count[Unit]","Unit","291","310","223","260","263","301","326","344","438","535","615","587","563","616","557","539","535","531","579",
"Men+Women","RH(-)","Gangwon","Composition Rate[%]","%",".4",".4",".3",".4",".3",".4",".4",".3",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",
"Men+Women","RH(-)","Chungbook","Donation Count[Unit]","Unit","295","373","317","323","400","397","340","462","461","473","462","365","364","419","415","416","413","373","410",
"Men+Women","RH(-)","Chungbook","Composition Rate[%]","%",".4",".5",".4",".4",".4",".4",".4",".5",".5",".5",".5",".4",".4",".4",".4",".5",".5",".4",".5",
"Men+Women","RH(-)","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","573","612","585","576","704","783","816","886","956","990","1063","966","946","1008","1042","1112","1098","1084","1018",
"Men+Women","RH(-)","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".4",".4",".4",".3",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".5",".5",".5",".4",
"Men+Women","RH(-)","Jeonbook","Donation Count[Unit]","Unit","404","380","361","416","422","410","476","502","520","561","557","457","439","429","418","394","408","331","363",
"Men+Women","RH(-)","Jeonbook","Composition Rate[%]","%",".3",".3",".4",".4",".3",".3",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".3",".4",
"Men+Women","RH(-)","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","646","741","616","659","675","662","680","617","737","824","810","734","816","707","751","669","752","761","675",
"Men+Women","RH(-)","Gwangju/Jeonnaam","Composition Rate[%]","%",".4",".4",".3",".3",".3",".3",".4",".3",".4",".4",".4",".4",".4",".3",".4",".4",".4",".4",".4",
"Men+Women","RH(-)","Gyeongnaam","Donation Count[Unit]","Unit","385","444","333","419","427","459","433","479","563","649","641","560","528","569","614","620","596","603","564",
"Men+Women","RH(-)","Gyeongnaam","Composition Rate[%]","%",".4",".4",".4",".4",".4",".4",".4",".4",".4",".5",".5",".4",".4",".4",".5",".5",".5",".5",".4",
"Men+Women","RH(-)","Jeju","Donation Count[Unit]","Unit","127","123","95","111","136","138","121","136","168","140","129","143","113","110","139","133","159","187","202",
"Men+Women","RH(-)","Jeju","Composition Rate[%]","%",".4",".4",".3",".3",".4",".4",".4",".4",".5",".4",".3",".4",".3",".3",".4",".3",".4",".4",".4",
"Men+Women","RH(-)","Korean Red Cross 외","Donation Count[Unit]","Unit","108","155","96","222","399","615","639","715","791","830","759","782","788","805","704","698","726","790","857",
"Men+Women","RH(-)","Korean Red Cross 외","Composition Rate[%]","%",".2",".3",".2",".3",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",".4",
"Men+Women","Type O","Total","Donation Count[Unit]","Unit","2165","2468","2246","2539","2717","3022","2999","3360","3663","4028","3946","3607","3700","3778","3603","3341","3436","3463","3444",
"Men+Women","Type O","Total","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Korean Red Cross","Donation Count[Unit]","Unit","2127","2428","2209","2455","2593","2828","2816","3160","3435","3800","3731","3380","3487","3564","3410","3151","3243","3261","3235",
"Men+Women","Type O","Korean Red Cross","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Central Seoul","Donation Count[Unit]","Unit","188","277","212","202","222","283","","","","","","","","407","383","361","364","324","317",
"Men+Women","Type O","Central Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1","","","","","","","",".2",".2",".2",".2",".1",".1",
"Men+Women","Type O","Western Seoul","Donation Count[Unit]","Unit","128","145","167","163","203","107","333","376","427","442","413","430","462","","","","","","",
"Men+Women","Type O","Western Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2","","","","","","",
"Men+Women","Type O","Southern Seoul","Donation Count[Unit]","Unit","193","192","180","191","197","251","203","344","363","352","323","298","322","326","249","211","208","256","204",
"Men+Women","Type O","Southern Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".2",".2",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Eastern Seoul","Donation Count[Unit]","Unit","176","183","179","231","222","285","332","323","388","368","376","370","378","397","432","313","342","352","378",
"Men+Women","Type O","Eastern Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",".1",
"Men+Women","Type O","Busan","Donation Count[Unit]","Unit","223","211","190","269","250","276","267","272","236","347","329","240","294","274","252","233","244","249","189",
"Men+Women","Type O","Busan","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Daegu/Gyeongbook","Donation Count[Unit]","Unit","186","231","199","226","238","240","230","289","297","337","300","307","295","357","324","254","372","336","319",
"Men+Women","Type O","Daegu/Gyeongbook","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",
"Men+Women","Type O","Incheon","Donation Count[Unit]","Unit","108","148","124","140","135","191","210","234","190","236","275","212","195","221","197","222","185","218","184",
"Men+Women","Type O","Incheon","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Ulsan","Donation Count[Unit]","Unit","87","104","96","96","80","111","108","123","122","163","168","132","136","140","130","123","121","124","147",
"Men+Women","Type O","Ulsan","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".2",".2",".2",".2",".2",".2",".2",".1",".1",".1",".1",".1",
"Men+Women","Type O","Gyeonggi","Donation Count[Unit]","Unit","157","156","158","172","169","204","187","236","262","312","302","273","345","333","321","317","324","333","337",
"Men+Women","Type O","Gyeonggi","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".2",".2",".2",".1",".1",".2",".1",
"Men+Women","Type O","Gangwon","Donation Count[Unit]","Unit","67","71","61","65","62","72","86","103","131","179","212","189","143","161","186","162","143","147","159",
"Men+Women","Type O","Gangwon","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Chungbook","Donation Count[Unit]","Unit","78","98","91","95","118","116","100","100","115","115","106","99","97","116","100","97","81","90","104",
"Men+Women","Type O","Chungbook","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","161","177","181","171","232","244","264","258","311","313","331","320","295","298","328","335","348","341","388",
"Men+Women","Type O","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",
"Men+Women","Type O","Jeonbook","Donation Count[Unit]","Unit","108","81","86","117","113","120","165","164","174","183","157","126","118","125","94","105","99","90","95",
"Men+Women","Type O","Jeonbook","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","159","199","180","171","198","171","179","161","176","241","242","206","222","199","203","179","195","202","173",
"Men+Women","Type O","Gwangju/Jeonnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Gyeongnaam","Donation Count[Unit]","Unit","80","111","80","110","118","122","120","131","177","169","167","136","147","187","177","198","175","153","187",
"Men+Women","Type O","Gyeongnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",
"Men+Women","Type O","Jeju","Donation Count[Unit]","Unit","28","44","25","36","36","35","32","46","66","43","30","42","38","23","34","41","42","46","54",
"Men+Women","Type O","Jeju","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type O","Korean Red Cross 외","Donation Count[Unit]","Unit","38","40","37","84","124","194","183","200","228","228","215","227","213","214","193","190","193","202","209",
"Men+Women","Type O","Korean Red Cross 외","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type A","Total","Donation Count[Unit]","Unit","2920","3300","2944","3063","3271","3455","3551","3815","4423","4517","4463","3809","3982","3996","3913","3939","4069","3941","3948",
"Men+Women","Type A","Total","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",".1",".1",".1",".2",".2",".1",".1",
"Men+Women","Type A","Korean Red Cross","Donation Count[Unit]","Unit","2894","3212","2906","2990","3143","3255","3333","3585","4152","4220","4190","3531","3688","3726","3666","3681","3798","3642","3605",
"Men+Women","Type A","Korean Red Cross","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",".1",".1",".1",".2",".2",".1",".1",
"Men+Women","Type A","Central Seoul","Donation Count[Unit]","Unit","292","256","246","288","275","345","","","","","","","","374","387","348","324","346","346",
"Men+Women","Type A","Central Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1","","","","","","","",".1",".2",".2",".1",".2",".1",
"Men+Women","Type A","Western Seoul","Donation Count[Unit]","Unit","180","264","267","231","264","120","407","433","507","597","493","385","344","","","","","","",
"Men+Women","Type A","Western Seoul","Composition Rate[%]","%",".1",".2",".2",".1",".1",".1",".1",".2",".2",".2",".1",".1",".1","","","","","","",
"Men+Women","Type A","Southern Seoul","Donation Count[Unit]","Unit","240","309","275","284","263","325","316","336","378","310","345","277","359","333","244","282","287","294","255",
"Men+Women","Type A","Southern Seoul","Composition Rate[%]","%",".1",".2",".2",".2",".1",".1",".1",".1",".2",".1",".2",".1",".1",".1",".1",".1",".2",".2",".1",
"Men+Women","Type A","Eastern Seoul","Donation Count[Unit]","Unit","216","238","264","279","312","302","343","360","435","432","407","415","398","350","389","380","402","382","365",
"Men+Women","Type A","Eastern Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",".2",".2",".2",".1",
"Men+Women","Type A","Busan","Donation Count[Unit]","Unit","263","305","257","268","255","322","320","329","347","371","355","286","289","287","290","301","244","217","272",
"Men+Women","Type A","Busan","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".2",".2",".2",".1",".1",".1",".1",".1",".2",".1",".1",".1",
"Men+Women","Type A","Daegu/Gyeongbook","Donation Count[Unit]","Unit","264","251","270","276","282","280","304","363","353","413","382","291","323","339","330","263","363","334","364",
"Men+Women","Type A","Daegu/Gyeongbook","Composition Rate[%]","%",".1",".1",".2",".1",".1",".1",".1",".2",".1",".2",".1",".1",".1",".1",".1",".1",".2",".1",".2",
"Men+Women","Type A","Incheon","Donation Count[Unit]","Unit","187","155","174","168","176","209","243","233","344","304","282","231","245","230","212","204","223","209","212",
"Men+Women","Type A","Incheon","Composition Rate[%]","%",".1",".1",".2",".1",".1",".1",".1",".1",".2",".2",".2",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type A","Ulsan","Donation Count[Unit]","Unit","89","121","78","85","77","83","81","88","112","133","130","109","96","118","146","152","144","133","176",
"Men+Women","Type A","Ulsan","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".2",".2",".2",".2",
"Men+Women","Type A","Gyeonggi","Donation Count[Unit]","Unit","210","191","174","211","220","247","259","286","363","341","349","284","287","294","298","350","397","343","312",
"Men+Women","Type A","Gyeonggi","Composition Rate[%]","%",".2",".1",".1",".1",".1",".1",".1",".2",".2",".2",".2",".1",".1",".1",".1",".2",".2",".2",".1",
"Men+Women","Type A","Gangwon","Donation Count[Unit]","Unit","109","120","80","89","84","100","101","92","120","133","160","179","204","228","177","179","181","166","200",
"Men+Women","Type A","Gangwon","Composition Rate[%]","%",".1",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",
"Men+Women","Type A","Chungbook","Donation Count[Unit]","Unit","100","135","117","109","134","114","126","173","159","167","169","111","113","143","157","157","146","134","133",
"Men+Women","Type A","Chungbook","Composition Rate[%]","%",".1",".2",".2",".1",".1",".1",".1",".2",".2",".2",".2",".1",".1",".2",".2",".2",".2",".2",".2",
"Men+Women","Type A","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","185","207","207","189","240","243","262","294","304","287","337","312","334","400","392","416","406","364","318",
"Men+Women","Type A","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".2",".2",".2",".2",".1",
"Men+Women","Type A","Jeonbook","Donation Count[Unit]","Unit","169","187","156","132","145","114","150","168","189","193","219","174","163","168","164","157","147","122","144",
"Men+Women","Type A","Jeonbook","Composition Rate[%]","%",".1",".2",".2",".1",".1",".1",".1",".1",".1",".2",".2",".1",".1",".2",".2",".2",".1",".1",".1",
"Men+Women","Type A","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","221","287","201","220","232","246","232","216","284","276","299","242","303","241","247","236","262","302","256",
"Men+Women","Type A","Gwangju/Jeonnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",
"Men+Women","Type A","Gyeongnaam","Donation Count[Unit]","Unit","118","144","113","127","135","151","148","168","209","218","225","182","197","179","187","212","201","214","174",
"Men+Women","Type A","Gyeongnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".2",".2",".2",".1",".2",".1",".1",".2",".2",".2",".1",
"Men+Women","Type A","Jeju","Donation Count[Unit]","Unit","51","42","27","34","49","54","41","46","48","45","38","53","33","42","46","44","71","82","78",
"Men+Women","Type A","Jeju","Composition Rate[%]","%",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".2",".2",
"Men+Women","Type A","Korean Red Cross 외","Donation Count[Unit]","Unit","26","88","38","73","128","200","218","230","271","297","273","278","294","270","247","258","271","299","343",
"Men+Women","Type A","Korean Red Cross 외","Composition Rate[%]","%",".1",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",
"Men+Women","Type B","Total","Donation Count[Unit]","Unit","2340","2335","2144","2402","2610","2920","2890","3131","3286","3560","3287","3007","2963","2924","2901","2880","2979","2908","2878",
"Men+Women","Type B","Total","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Korean Red Cross","Donation Count[Unit]","Unit","2314","2315","2126","2350","2511","2760","2719","2920","3072","3327","3094","2833","2792","2733","2740","2705","2788","2712","2671",
"Men+Women","Type B","Korean Red Cross","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Central Seoul","Donation Count[Unit]","Unit","220","241","214","190","226","320","","","","","","","","293","250","239","253","277","284",
"Men+Women","Type B","Central Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1","","","","","","","",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Western Seoul","Donation Count[Unit]","Unit","137","142","145","189","191","88","317","307","347","387","353","288","286","","","","","","",
"Men+Women","Type B","Western Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1","","","","","","",
"Men+Women","Type B","Southern Seoul","Donation Count[Unit]","Unit","214","200","187","207","256","254","241","283","305","310","267","287","273","231","203","159","172","171","188",
"Men+Women","Type B","Southern Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Eastern Seoul","Donation Count[Unit]","Unit","184","204","196","203","205","280","327","321","322","415","358","320","313","305","316","249","283","271","246",
"Men+Women","Type B","Eastern Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Busan","Donation Count[Unit]","Unit","193","192","199","210","238","276","271","251","278","278","234","202","251","257","240","254","234","223","170",
"Men+Women","Type B","Busan","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Daegu/Gyeongbook","Donation Count[Unit]","Unit","207","213","196","239","218","233","250","269","271","252","227","218","233","216","240","223","263","273","257",
"Men+Women","Type B","Daegu/Gyeongbook","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Incheon","Donation Count[Unit]","Unit","119","131","160","125","131","135","217","228","302","250","234","161","191","171","191","244","236","227","192",
"Men+Women","Type B","Incheon","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Ulsan","Donation Count[Unit]","Unit","133","104","82","80","81","125","90","78","62","90","101","109","91","76","81","73","85","81","101",
"Men+Women","Type B","Ulsan","Composition Rate[%]","%",".2",".1",".1",".1",".1",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Gyeonggi","Donation Count[Unit]","Unit","134","112","132","168","164","181","206","237","247","253","256","278","236","257","233","284","303","269","318",
"Men+Women","Type B","Gyeonggi","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Gangwon","Donation Count[Unit]","Unit","91","94","61","76","90","86","99","103","122","154","158","159","143","160","123","148","148","156","164",
"Men+Women","Type B","Gangwon","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Chungbook","Donation Count[Unit]","Unit","82","88","51","68","118","140","91","137","129","134","131","105","116","118","122","121","121","83","134",
"Men+Women","Type B","Chungbook","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",
"Men+Women","Type B","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","168","170","134","152","173","195","196","250","246","284","273","216","216","208","220","259","219","224","191",
"Men+Women","Type B","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Jeonbook","Donation Count[Unit]","Unit","94","87","90","110","105","127","100","134","111","133","121","112","119","91","114","99","112","91","88",
"Men+Women","Type B","Jeonbook","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","173","184","163","198","183","164","186","178","188","207","182","187","182","168","181","169","181","151","145",
"Men+Women","Type B","Gwangju/Jeonnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Gyeongnaam","Donation Count[Unit]","Unit","125","124","87","110","102","123","96","114","116","148","163","161","114","142","182","147","145","171","142",
"Men+Women","Type B","Gyeongnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Jeju","Donation Count[Unit]","Unit","40","29","29","25","30","33","32","30","26","32","36","30","28","40","44","37","33","44","51",
"Men+Women","Type B","Jeju","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type B","Korean Red Cross 외","Donation Count[Unit]","Unit","26","20","18","52","99","160","171","211","214","233","193","174","171","191","161","175","191","196","207",
"Men+Women","Type B","Korean Red Cross 외","Composition Rate[%]","%",".1","-","-",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",
"Men+Women","Type AB","Total","Donation Count[Unit]","Unit","1079","984","912","1023","1121","1277","1287","1246","1349","1611","1521","1505","1361","1403","1270","1151","1500","1356","1395",
"Men+Women","Type AB","Total","Composition Rate[%]","%","0","0","0","0","0","0","0","0","0",".1","0",".1","-","-","-","-",".1",".1",".1",
"Men+Women","Type AB","Korean Red Cross","Donation Count[Unit]","Unit","1061","977","909","1010","1073","1216","1220","1172","1271","1539","1443","1402","1251","1273","1167","1076","1429","1263","1297",
"Men+Women","Type AB","Korean Red Cross","Composition Rate[%]","%","0","0","0","0","0","0","0","0","0",".1",".1",".1","-","-","-","-",".1",".1",".1",
"Men+Women","Type AB","Central Seoul","Donation Count[Unit]","Unit","96","94","81","103","108","153","","","","","","","","152","99","94","150","122","136",
"Men+Women","Type AB","Central Seoul","Composition Rate[%]","%","0","0","0","0",".1",".1","","","","","","","",".1","-","-",".1",".1",".1",
"Men+Women","Type AB","Western Seoul","Donation Count[Unit]","Unit","90","69","95","86","105","49","179","165","182","205","140","150","122","","","","","","",
"Men+Women","Type AB","Western Seoul","Composition Rate[%]","%",".1","0",".1",".1",".1",".1",".1",".1",".1",".1","0",".1","-","","","","","","",
"Men+Women","Type AB","Southern Seoul","Donation Count[Unit]","Unit","103","104","65","89","81","111","120","130","110","146","125","142","152","160","129","100","129","99","90",
"Men+Women","Type AB","Southern Seoul","Composition Rate[%]","%",".1",".1","0","0","0",".1",".1",".1","0",".1",".1",".1",".1",".1",".1",".1",".1",".1","0",
"Men+Women","Type AB","Eastern Seoul","Donation Count[Unit]","Unit","78","74","95","79","84","91","108","98","108","125","103","124","117","122","96","80","87","90","104",
"Men+Women","Type AB","Eastern Seoul","Composition Rate[%]","%","0","0",".1","0","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men+Women","Type AB","Busan","Donation Count[Unit]","Unit","106","98","73","84","96","116","96","110","95","139","173","120","89","83","99","82","114","110","140",
"Men+Women","Type AB","Busan","Composition Rate[%]","%","0","0","0","0","0","0","0",".1","0",".1",".1",".1","-","-","-","-",".1",".1",".1",
"Men+Women","Type AB","Daegu/Gyeongbook","Donation Count[Unit]","Unit","117","89","79","85","95","110","98","97","92","138","154","153","138","119","110","94","108","90","122",
"Men+Women","Type AB","Daegu/Gyeongbook","Composition Rate[%]","%",".1","0",".1","0","0",".1","0","0","0",".1",".1",".1",".1","-","-","-","0","0",".1",
"Men+Women","Type AB","Incheon","Donation Count[Unit]","Unit","46","54","43","44","73","84","93","91","97","108","82","78","59","70","54","97","128","85","90",
"Men+Women","Type AB","Incheon","Composition Rate[%]","%","0","0","0","0",".1",".1",".1",".1",".1",".1","0","-","-","-","-",".1",".1","0",".1",
"Men+Women","Type AB","Ulsan","Donation Count[Unit]","Unit","25","24","23","30","38","41","44","36","45","65","56","34","32","40","40","34","41","57","76",
"Men+Women","Type AB","Ulsan","Composition Rate[%]","%","0","0","0","0",".1",".1",".1","0",".1",".1",".1","-","-","-","-","-","0",".1",".1",
"Men+Women","Type AB","Gyeonggi","Donation Count[Unit]","Unit","86","67","45","50","63","81","96","85","100","95","89","130","98","106","82","110","167","113","106",
"Men+Women","Type AB","Gyeonggi","Composition Rate[%]","%",".1","0","0","0","0","0",".1","0",".1","0","0",".1","-",".1","-","-",".1",".1","0",
"Men+Women","Type AB","Gangwon","Donation Count[Unit]","Unit","24","25","21","30","27","43","40","46","65","69","85","60","73","67","71","50","63","62","56",
"Men+Women","Type AB","Gangwon","Composition Rate[%]","%","0","0","0","0","0",".1","0","0",".1",".1",".1","-","-","-","-","-","0","0","0",
"Men+Women","Type AB","Chungbook","Donation Count[Unit]","Unit","35","52","58","51","30","27","23","52","58","57","56","50","38","42","36","41","65","66","39",
"Men+Women","Type AB","Chungbook","Composition Rate[%]","%","0",".1",".1",".1","0","0","0",".1",".1",".1",".1",".1","-","-","-","-",".1",".1","0",
"Men+Women","Type AB","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","59","58","63","64","59","101","94","84","95","106","122","118","101","102","102","102","125","155","121",
"Men+Women","Type AB","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","0","0","0","0","0",".1","0","0","0","0","0","-","-","-","-","-",".1",".1",".1",
"Men+Women","Type AB","Jeonbook","Donation Count[Unit]","Unit","33","25","29","57","59","49","61","36","46","52","60","45","39","45","46","33","50","28","36",
"Men+Women","Type AB","Jeonbook","Composition Rate[%]","%","0","0","0",".1","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men+Women","Type AB","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","93","71","72","70","62","81","83","62","89","100","87","99","109","99","120","85","114","106","101",
"Men+Women","Type AB","Gwangju/Jeonnaam","Composition Rate[%]","%",".1","0","0","0","0","0","0","0","0","0","0","-","-","-",".1","-",".1",".1",".1",
"Men+Women","Type AB","Gyeongnaam","Donation Count[Unit]","Unit","62","65","53","72","72","63","69","66","61","114","86","81","70","61","68","63","75","65","61",
"Men+Women","Type AB","Gyeongnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1","0",".1",".1",".1",".1","-",".1","-",".1",".1","0",
